"domain","tags","lastseen"
"194.156.89.132:22920","32, exe, RedLineStealer, trojan","2021-11-12 07:10:11.167941+00:00"
"kotob.top","exe, Stop","2021-11-09 07:07:55.375109+00:00"
"pqkl.org","exe, Stop","2021-11-09 07:07:55.375109+00:00"
"iryarahara.xyz","exe, RedLineStealer","2021-11-10 07:00:02.549275+00:00"
"t.tr2q.com","#criptominero, #lemonduck, #cryptominer","2021-11-10 07:00:02.549275+00:00"
"www.wgqpw.com","exe, Socelars","2021-12-01 07:31:39.064872+00:00"
"0.tcp.ngrok.io:10655","exe, RedLineStealer","2021-11-23 07:12:13.265091+00:00"
"powerbankbless.xyz","32, exe, Loki, trojan","2021-11-27 07:15:32.565814+00:00"
"benera.xyz","32, exe, Loki, trojan","2021-11-27 07:15:45.423441+00:00"
"gebebaglanti.com","32, exe, Loki, trojan","2021-11-27 07:16:21.926367+00:00"
"navanaweldings.xyz","AZORult, exe","2021-11-24 07:16:52.404060+00:00"
"endofyour.ink","exe, IcedID","2021-12-04 07:11:55.562903+00:00"
"hdmibonquet.ir","32, exe, Loki, trojan","2021-12-01 07:14:59.133810+00:00"
"obilok.xyz","exe, Loki","2021-12-01 07:15:57.206245+00:00"
"191.101.130.135:47895","exe, RedLineStealer","2021-12-01 07:21:44.378063+00:00"
"umuloki.xyz","exe, Loki","2021-12-01 07:22:35.789394+00:00"
"domynuts.ga","exe, Loki","2021-12-01 07:23:39.918518+00:00"
"niogem1171.zapto.org:16039","CoinMiner, exe","2021-11-14 07:11:04.045517+00:00"
"cubicatransport.net","exe, OskiStealer","2021-12-01 07:35:13.490856+00:00"
"18.141.173.70","CoinMiner, exe","2021-11-14 07:11:04.045517+00:00"
"5bwo.komawai.ru","32, Amadey, exe, signed, trojan","2021-12-03 07:17:51.055967+00:00"
"znegs.xyz","DiamondFox, exe","2021-11-10 07:00:02.549275+00:00"
"c.komaiasowu.ru","32, Amadey, exe, signed, trojan","2021-12-03 07:17:51.055967+00:00"
"boomboomrequest.com","exe, GCleaner","2021-12-02 07:11:43.146330+00:00"
"utensilsprod.xyz","32, exe, Loki","2021-11-13 07:05:57.497741+00:00"
"www.ecgbg.com","exe, GCleaner","2021-12-02 07:11:43.146330+00:00"
"tzgl.org","Djvu, Encoder, exe, Stop","2021-12-02 07:27:29.215834+00:00"
"host-file-host9.com","32, exe, RaccoonStealer, signed, trojan","2021-12-02 07:36:46.254357+00:00"
"vsiperu.com","exe, OskiStealer","2021-12-01 07:40:36.458608+00:00"
"yje.ckauni.ru","32, Amadey, exe, signed, trojan","2021-12-02 07:43:26.073615+00:00"
"test.softlemon.net","CobaltStrike","2021-11-22 07:00:03.127392+00:00"
"mywgym11.top","exe, GCleaner","2021-11-30 07:16:14.621428+00:00"
"blairwitch.top","exe, GCleaner","2021-11-30 07:16:14.621428+00:00"
"forwardstorage.biz","exe, GCleaner","2021-11-30 07:16:14.621428+00:00"
"coin-coin-coin-2.com","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"i-labspro.com","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"glohape.com","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"tg8.cllgxx.com","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"www.bqmqx.com","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"privacytoolzforyou-7000.com","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"jooltr.xyz","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"unistop.xyz","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"hb888.luminati-china.net","CoinMiner, exe","2021-11-30 07:16:40.821692+00:00"
"138.124.186.113:15997","exe, RedLineStealer","2021-11-26 07:24:30.466746+00:00"
"8.tcp.ngrok.io:10757","exe, RedLineStealer","2021-11-30 07:16:53.557259+00:00"
"postbackstat.biz","exe, RedLineStealer","2021-11-26 07:24:57.885015+00:00"
"www.hdkapx.com","exe, RedLineStealer","2021-11-26 07:24:57.885015+00:00"
"tweakballs.com","exe, RedLineStealer","2021-11-26 07:24:57.885015+00:00"
"www.gianninidesign.com","exe, RedLineStealer","2021-11-26 07:24:57.885015+00:00"
